mode,energy_cm,decay_cm,decay_over_gamma,lifetime_ps
66,-46.67052636418943,0.00038896310473156265,0.14247732774049915,13648.691596443225
67,-21.21063026444327,0.0003954109894511631,0.14483919027515132,13426.125222884923
68,44.87627170440933,0.00039542990965493426,0.14484612075272318,13425.482820732552
69,2.7140154976246342,0.00044883410108118596,0.16440809563413405,11828.061740602621
70,16.7565255713519,0.0005037580827624635,0.18452677024266068,10538.466062448102
71,-0.4486827892754938,0.0005065563731534053,0.18555178503787745,10480.250057516141
72,1.8070897392516994,0.0005562134290302461,0.20374118279496195,9544.604969592452
73,16.518210427725375,0.0005725722297606325,0.2097334174947372,9271.908735594003
74,-64.73844281739888,0.000602902172668787,0.22084328669186343,8805.470770450567
75,44.730375878477616,0.0008519409115271594,0.3120662679586665,6231.462049826565
76,-61.5311081871215,0.0009026857555998666,0.33065412293035407,5881.15789569343
77,45.96682668628941,0.0009035782656026698,0.33098104967130765,5875.348778265766
78,-20.538823349024593,0.0009386770070532375,0.34383773152133246,5655.659421702499
79,69.56626652956218,0.0012976997868940129,0.4753479072871842,4090.9596445127063
80,2.1425635991523824,0.0013921152209720867,0.5099323153743908,3813.504355745129
81,16.66767167336052,0.0014859496650097748,0.5443039065969871,3572.689966480946
82,69.66282370607232,0.0017399015679560343,0.6373265816688771,3051.2286192791653
83,16.966134562769707,0.00188641183019696,0.6909933443944908,2814.2515721616583
84,-62.623077066426305,0.002015835660071567,0.7384013406855557,2633.5665967371906
85,-19.454611016203927,0.0042018457965561215,1.539137654416162,1263.453662013805
86,-19.759219870915917,0.005285573937951356,1.9361076695792516,1004.4013235266189
87,1.3939589728305024,0.005337611679778391,1.955169113471938,994.6091580601008
88,16.786710806831444,0.005760352211654827,2.1100191251482885,921.6168150507986
89,-0.28732617554945294,0.006808118448196653,2.4938162813907154,779.7804194024209
90,-0.17357299547971947,0.007912330207298712,2.8982894532229713,670.9575207034484
91,-0.2984966776244607,0.007922750737064497,2.902106497093223,670.0750326575529
92,-58.400945693437265,0.008508135767070761,3.1165332480112675,623.9718787073268
93,16.87136692169823,0.00911929476487066,3.340401012773136,582.1543875658944
94,1.6159338415066762,0.010206509817023158,3.7386482846238676,520.1422968331134
95,-46.456096601724234,0.010503810651739462,3.8475496892818546,505.42014083212604
96,-46.4179340333535,0.011562899978785283,4.235494497723548,459.12681668235393
97,1.423369115073435,0.01312319155298187,4.807029872887132,404.5385939421012
98,45.21566142114705,0.019392769391688425,7.103578531754002,273.75344653721646
99,45.37045940759311,0.020750346590639117,7.600859557010665,255.84331498689593
100,-60.45139598464974,0.02112089094203424,7.736590088657231,251.3548066436268
101,-59.55414854610083,0.022741181491420202,8.330103110410331,233.44598260556796
102,-46.07097560905772,0.027350719634008175,10.018578620515816,194.10229529299406
103,-19.005882558986336,0.044620808242462416,16.34461840383239,118.97672113039195
